step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
324,0,158,0,71,0,106,0,65,0,0,0,0,0,0,0,0
325,0,169,0,117,0,60,0,54,0,0,0,0,0,0,0,0
326,0,160,0,74,0,104,0,62,0,0,0,0,0,0,0,0
327,0,166,0,120,0,61,0,53,0,0,0,0,0,0,0,0
328,0,159,0,73,0,105,0,63,0,0,0,0,0,0,0,0
329,0,168,0,118,0,61,0,53,0,0,0,0,0,0,0,0
330,0,158,0,74,0,106,0,62,0,0,0,0,0,0,0,0
331,0,167,0,119,0,61,0,53,0,0,0,0,0,0,0,0
332,0,157,0,74,0,107,0,62,0,0,0,0,0,0,0,0
333,0,170,0,116,0,61,0,53,0,0,0,0,0,0,0,0
334,0,155,0,75,0,109,0,61,0,0,0,0,0,0,0,0
335,0,166,0,120,0,61,0,53,0,0,0,0,0,0,0,0
336,0,158,0,73,0,106,0,63,0,0,0,0,0,0,0,0
337,0,169,0,117,0,62,0,52,0,0,0,0,0,0,0,0
338,0,159,0,74,0,105,0,62,0,0,0,0,0,0,0,0
339,0,167,0,119,0,60,0,54,0,0,0,0,0,0,0,0
340,0,158,0,73,0,106,0,63,0,0,0,0,0,0,0,0
341,0,171,0,115,0,61,0,53,0,0,0,0,0,0,0,0
342,0,159,0,74,0,105,0,62,0,0,0,0,0,0,0,0
343,0,168,0,118,0,61,0,53,0,0,0,0,0,0,0,0
344,0,157,0,72,0,107,0,64,0,0,0,0,0,0,0,0
345,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
346,0,156,0,74,0,108,0,62,0,0,0,0,0,0,0,0
347,0,168,0,118,0,61,0,53,0,0,0,0,0,0,0,0
348,0,162,0,74,0,102,0,62,0,0,0,0,0,0,0,0
349,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
350,0,157,0,73,0,107,0,63,0,0,0,0,0,0,0,0
351,0,170,0,116,0,60,0,54,0,0,0,0,0,0,0,0
352,0,159,0,74,0,105,0,62,0,0,0,0,0,0,0,0
353,0,166,0,119,0,60,0,55,0,0,0,0,0,0,0,0
354,0,162,0,73,0,102,0,63,0,0,0,0,0,0,0,0
355,0,166,0,119,0,60,0,55,0,0,0,0,0,0,0,0
356,0,158,0,74,0,106,0,62,0,0,0,0,0,0,0,0
357,0,169,0,116,0,61,0,54,0,0,0,0,0,0,0,0
358,0,160,0,77,0,104,0,59,0,0,0,0,0,0,0,0
359,0,167,0,119,0,61,0,53,0,0,0,0,0,0,0,0
360,0,158,0,75,0,106,0,61,0,0,0,0,0,0,0,0
361,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
362,0,157,0,76,0,107,0,60,0,0,0,0,0,0,0,0
363,0,166,0,120,0,62,0,52,0,0,0,0,0,0,0,0
364,0,159,0,75,0,105,0,61,0,0,0,0,0,0,0,0
365,0,168,0,118,0,61,0,53,0,0,0,0,0,0,0,0
366,0,158,0,71,0,106,0,65,0,0,0,0,0,0,0,0
367,0,168,0,118,0,60,0,54,0,0,0,0,0,0,0,0
368,0,162,0,73,0,102,0,63,0,0,0,0,0,0,0,0
369,0,168,0,118,0,60,0,54,0,0,0,0,0,0,0,0
370,0,162,0,73,0,102,0,63,0,0,0,0,0,0,0,0
371,0,170,0,116,0,61,0,53,0,0,0,0,0,0,0,0
372,0,160,0,73,0,104,0,63,0,0,0,0,0,0,0,0
373,0,168,0,118,0,62,0,52,0,0,0,0,0,0,0,0
374,0,160,0,72,0,104,0,64,0,0,0,0,0,0,0,0
375,0,169,0,117,0,60,0,54,0,0,0,0,0,0,0,0
376,0,157,0,74,0,107,0,62,0,0,0,0,0,0,0,0
377,0,167,0,119,0,61,0,53,0,0,0,0,0,0,0,0
378,0,159,0,70,0,105,0,66,0,0,0,0,0,0,0,0
379,0,170,0,116,0,61,0,53,0,0,0,0,0,0,0,0
380,0,160,0,72,0,104,0,64,0,0,0,0,0,0,0,0
381,0,168,0,118,0,61,0,53,0,0,0,0,0,0,0,0
382,0,155,0,73,0,109,0,63,0,0,0,0,0,0,0,0
383,0,167,0,119,0,60,0,54,0,0,0,0,0,0,0,0
384,0,159,0,75,0,105,0,61,0,0,0,0,0,0,0,0
385,0,167,0,119,0,61,0,53,0,0,0,0,0,0,0,0
386,0,158,0,73,0,106,0,63,0,0,0,0,0,0,0,0
387,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
388,0,158,0,74,0,106,0,62,0,0,0,0,0,0,0,0
389,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
390,0,159,0,74,0,105,0,62,0,0,0,0,0,0,0,0
391,0,168,0,118,0,60,0,54,0,0,0,0,0,0,0,0
392,0,160,0,72,0,104,0,64,0,0,0,0,0,0,0,0
393,0,170,0,116,0,60,0,54,0,0,0,0,0,0,0,0
394,0,158,0,73,0,106,0,63,0,0,0,0,0,0,0,0
395,0,170,0,116,0,61,0,53,0,0,0,0,0,0,0,0
396,0,164,0,74,0,100,0,62,0,0,0,0,0,0,0,0
397,0,169,0,117,0,61,0,53,0,0,0,0,0,0,0,0
