step,C-NR,C-SR,C-AR,C-UR,OC-NR,OC-SR,OC-AR,OC-UR,OD-NR,OD-SR,OD-AR,OD-UR,D-NR,D-SR,D-AR,D-UR
288,0,180,0,47,0,134,0,34,0,2,0,3,0,0,0,0
289,0,181,0,47,0,134,0,32,0,4,0,2,0,0,0,0
290,0,176,0,43,0,136,0,38,0,5,0,2,0,0,0,0
291,0,199,0,45,0,117,0,32,0,4,0,3,0,0,0,0
292,0,187,0,44,0,124,0,38,0,4,0,3,0,0,0,0
293,0,187,0,47,0,130,0,30,0,3,0,3,0,0,0,0
294,0,185,0,46,0,125,0,34,0,5,0,5,0,0,0,0
295,0,190,0,41,0,125,0,36,0,4,0,4,0,0,0,0
296,0,189,0,46,0,125,0,34,0,3,0,3,0,0,0,0
297,0,203,0,50,0,113,0,27,0,3,0,4,0,0,0,0
298,0,199,0,38,0,115,0,41,0,2,0,5,0,0,0,0
299,0,189,0,38,0,128,0,38,0,3,0,4,0,0,0,0
300,0,197,0,41,0,117,0,40,0,3,0,2,0,0,0,0
301,0,194,0,36,0,123,0,38,0,4,0,5,0,0,0,0
302,0,202,0,38,0,113,0,41,0,2,0,4,0,0,0,0
303,0,199,0,41,0,120,0,35,0,1,0,4,0,0,0,0
304,0,192,0,39,0,122,0,39,0,3,0,5,0,0,0,0
305,0,186,0,44,0,131,0,30,0,4,0,5,0,0,0,0
306,0,185,0,40,0,130,0,39,0,2,0,4,0,0,0,0
307,0,189,0,39,0,129,0,39,0,2,0,2,0,0,0,0
308,0,188,0,39,0,126,0,41,0,3,0,3,0,0,0,0
309,0,197,0,45,0,121,0,32,0,3,0,2,0,0,0,0
310,0,197,0,42,0,117,0,37,0,3,0,4,0,0,0,0
311,0,189,0,45,0,129,0,30,0,3,0,4,0,0,0,0
312,0,191,0,48,0,122,0,31,0,4,0,4,0,0,0,0
313,0,195,0,40,0,122,0,37,0,4,0,2,0,0,0,0
314,0,193,0,47,0,119,0,35,0,5,0,1,0,0,0,0
315,0,186,0,43,0,129,0,35,0,6,0,1,0,0,0,0
316,0,196,0,48,0,116,0,33,0,5,0,2,0,0,0,0
317,0,190,0,42,0,125,0,33,0,6,0,4,0,0,0,0
318,0,189,0,47,0,125,0,33,0,4,0,2,0,0,0,0
319,0,200,0,42,0,116,0,35,0,3,0,4,0,0,0,0
